Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Anas Mahmoud,5.8,17.6,2.2,3.7,2.2,5.9,1.1,1.0,1.6,4,1,25.0,3,1,33.3
Majok Machar Deng,15.1,24.1,1.8,3.6,1.8,5.4,0.5,1.1,1.7,39,34,87.2,42,17,40.5
Lual Lual Acuil,12.5,28.5,3.5,5.8,3.0,8.8,0.5,1.0,1.3,22,10,45.5,2,0,0.0
Abdelhady Elraei Metwaly,8.0,14.0,2.6,0.6,0.6,1.1,0.3,0.7,0.6,13,11,84.6,29,13,44.8
Moursi Mohamed Khalaf,4.3,19.5,0.8,3.7,3.3,7.0,0.7,0.7,1.5,2,1,50.0,6,1,16.7
Ahmed Aly Mohamed Ahmed,3.9,11.9,1.2,2.3,0.4,2.8,0.3,0.3,1.1,9,7,77.8,9,2,22.2
Angok Yak Deng,9.2,23.8,1.3,3.4,1.3,4.7,0.3,0.6,1.5,22,16,72.7,59,16,27.1
George King,11.7,22.8,2.3,3.1,0.7,3.8,0.3,0.6,2.2,33,30,90.9,42,11,26.2
Kyle Vinales,12.0,30.9,5.0,3.9,0.3,4.2,0.0,1.1,1.6,14,14,100.0,46,12,26.1
Ibrahim Abdelrahman Mohamed,7.6,16.8,2.7,0.9,0.2,1.1,0.1,1.2,1.7,15,13,86.7,30,13,43.3
Talaat Mahmoud Abdelmeguid,1.3,3.8,0.3,0.8,0.0,0.8,0.0,0.0,0.5,2,0,0.0,5,1,20.0
Abdelrazzak Mohamed Aboushousha,6.0,16.2,1.9,1.8,0.3,2.1,0.2,0.3,1.7,18,10,55.6,23,8,34.8
Matong Akech Malek Muorwel,0.0,3.2,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0,0,0.0,1,0,0.0
Youssef Said Shehata,4.6,12.5,1.6,0.7,0.3,1.0,0.0,0.1,1.0,2,1,50.0,26,12,46.2
