Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Robinson Opong,6.3,19.2,0.8,1.7,1.2,2.8,0.0,0.3,2.2,6,5,83.3,33,7,21.2
Dane Anthony Miller Jr.,10.8,30.1,4.2,4.7,1.5,6.2,0.3,1.7,2.3,23,11,47.8,11,4,36.4
Khaman Maluach,17.8,34.3,0.8,8.3,5.2,13.5,2.8,0.8,3.7,29,21,72.4,17,4,23.5
Fayed Baale,1.5,10.2,0.5,0.5,0.5,1.0,0.0,1.0,0.0,2,1,50.0,3,0,0.0
Tony Drileba,1.8,12.5,1.0,1.3,0.2,1.5,0.0,0.0,1.2,0,0,0.0,11,3,27.3
James Okello,2.0,13.0,0.8,0.8,0.5,1.3,0.0,0.2,0.8,2,0,0.0,0,0,0.0
Ivan Muhwezi,0.0,2.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,2,0,0.0
Titus Odeke,1.0,5.8,0.0,0.6,0.6,1.2,0.2,0.0,0.4,0,0,0.0,3,1,33.3
Muhammed Bashir Ahmed,9.5,17.6,0.3,1.5,1.5,3.0,0.3,0.5,2.0,18,13,72.2,22,6,27.3
Patrick Ronald Rembert,15.0,32.9,4.0,3.0,1.2,4.2,0.0,0.5,1.7,18,16,88.9,33,10,30.3
Randy Lechard Culpepper Sr,13.3,31.8,3.7,2.2,0.2,2.3,0.2,1.8,1.8,23,20,87.0,21,6,28.6
